Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1979,Male,25779,26603,27629,32194,31175,30502,25796,19175,16525,16926,18459,17383,13666,10618,7732,5066,2527,1575,329330,164665,25to29YearOldsCumSum,0.697823,27.79129,25779,52382,80011,112205,143380,173882,199678,218853,235378,252304,270763,288146,301812,312430,320162,325228,327755,329330
1980,Total,50058,50221,51402,61429,63997,62952,53311,40067,34641,34533,38380,37300,30124,25398,20620,14669,8671,6527,684300,342150,30to34YearOldsCumSum,0.039223,30.15689,50058,100279,151681,213110,277107,340059,393370,433437,468078,502611,540991,578291,608415,633813,654433,669102,677773,684300
1980,Female,24394,24692,25105,30503,33207,32313,27012,20729,18333,18322,20311,19880,16391,14667,12745,9554,6055,4902,359115,179558,30to34YearOldsCumSum,0.345902,31.38361,24394,49086,74191,104694,137901,170214,197226,217955,236288,254610,274921,294801,311192,325859,338604,348158,354213,359115
1980,Male,25664,25529,26297,30926,30790,30639,26299,19338,16308,16211,18069,17420,13733,10731,7875,5115,2616,1625,325185,162593,25to29YearOldsCumSum,0.763292,28.05317,25664,51193,77490,108416,139206,169845,196144,215482,231790,248001,266070,283490,297223,307954,315829,320944,323560,325185
1981,Total,50326,48372,51128,58792,63523,62892,55445,40284,35191,33869,37293,36551,30460,25603,20856,14938,8901,6738,681162,340581,30to34YearOldsCumSum,0.100063,30.40025,50326,98698,149826,208618,272141,335033,390478,430762,465953,499822,537115,573666,604126,629729,650585,665523,674424,681162
1981,Female,24514,23766,24959,29200,33014,32332,28193,20878,18587,17939,19744,19543,16570,14814,12841,9742,6204,5078,357918,178959,30to34YearOldsCumSum,0.39634,31.58536,24514,48280,73239,102439,135453,167785,195978,216856,235443,253382,273126,292669,309239,324053,336894,346636,352840,357918
1981,Male,25812,24606,26169,29592,30509,30560,27252,19406,16604,15930,17549,17008,13890,10789,8015,5196,2697,1660,323244,161622,25to29YearOldsCumSum,0.815903,28.26361,25812,50418,76587,106179,136688,167248,194500,213906,230510,246440,263989,280997,294887,305676,313691,318887,321584,323244
1982,Total,50256,47861,50906,56369,62933,63320,55056,43448,36261,33521,36239,35846,31377,25747,21352,15184,9183,7046,681905,340953,30to34YearOldsCumSum,0.169055,30.67622,50256,98117,149023,205392,268325,331645,386701,430149,466410,499931,536170,572016,603393,629140,650492,665676,674859,681905
1982,Female,24479,23483,24840,27991,32669,32540,28058,22497,19096,17718,19194,19207,17077,14906,13109,9876,6407,5319,358466,179233,30to34YearOldsCumSum,0.471559,31.88624,24479,47962,72802,100793,133462,166002,194060,216557,235653,253371,272565,291772,308849,323755,336864,346740,353147,358466
1982,Male,25777,24378,26066,28378,30264,30780,26998,20951,17165,15803,17045,16639,14300,10841,8243,5308,2776,1727,323439,161720,25to29YearOldsCumSum,0.872531,28.49012,25777,50155,76221,104599,134863,165643,192641,213592,230757,246560,263605,280244,294544,305385,313628,318936,321712,323439
